Name,Education
Stephen Ross,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University"
Eli Broad,"Broad College of Business; Bachelor of Arts/Science, Michigan State University"
Jim Davis & family,"Bachelor of Arts/Science, Middlebury College"
Guo Guangchang,"Bachelor of Arts/Science, Fudan University; Master of Business Administration, Fudan University"
Robert Kraft,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School"
Murali Divi & family,
Huang Chulong,
Li Jianquan & family,
Shi Yonghong & family,
Wee Cho Yaw,
Erich Wesjohann & family,
Aloys Wobben,"Bachelor of Arts/Science, U of Oldenburg"
Micky Arison,"Drop Out, University of Miami"
Jean-Michel Besnier,
Marie Besnier Beauvalot,
Kwon Hyuk-bin,"Bachelor of Arts/Science, Sogang University"
Li Haiyan,
Fredrik Lundberg,"Bachelor of Arts/Science, Stockholm School of Economics"
Hiroshi Mikitani,"Master of Business Administration, Harvard University"
Dmitry Rybolovlev,"Medical Doctor, Perm Medical Institute"
Reinhold Schmieding,"Bachelor of Arts/Science, Michigan State University"
Francis Choi,
Bruce Kovner,"Bachelor of Arts/Science, Harvard University"
Wang Wenjing,"Bachelor of Arts/Science, Jiangxi University of Finance & Economics"
Zeng Fangqin,
Brian Armstrong,"Bachelor of Arts/Economics, Rice University; Master of Arts/Science, Rice University"
Chu Mang Yee & family,
Denise Coates,
Gopikishan Damani,
James Goodnight,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University"
Antti Herlin,
Liu Yongxing,
Sri Prakash Lohia,"Bachelor of Arts/Science, Delhi University"
John Overdeck,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
Prajogo Pangestu,
Horst Julius Pudwill,"Master of Science in Engineering, Technical College in Flensburg"
David Siegel,"Drop Out, University of Miami"
Ronda Stryker,"Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University"
Georg Stumpf,
Pauline MacMillan Keinath,
Wang Yusuo & family,"Bachelor of Arts/Science, People's University of China; Doctorate, Tianjin University"
Dennis Washington,"Diploma, High School"
Rahul Bajaj,"Master of Business Administration, Harvard University"
Ashwin Dani & family,"Bachelor of Arts/Science, Bombay University; Master of Science, University of Akron"
Andreas Halvorsen,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Williams College"
Andrei Kozitsyn,"Bachelor of Science in Engineering, Ural Polytechnic Institute"
Axel Oberwelland,
Shi Yuzhu,"Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University"
Tsai Eng-meng,
Murat Ulker,"Bachelor of Arts/Science, Bogazici University"
Wang Junlin,
Wang Ning & family,
You Xiaoping,
Arthur Blank,"Bachelor of Arts/Science, Babson College"
James Chambers,"Bachelor of Arts/Science, Bard College"
Jiang Bin,"Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University"
Jason Jiang,"Bachelor of Arts/Science, Huadong Normal University; Bachelor of Arts/Science, Huadong Normal University"
Mitchell Rales,"Bachelor of Arts/Science, Miami University of Ohio"
Katharine Rayner,
Margaretta Taylor,
Stef Wertheimer & family,
Mike Adenuga,"Master of Business Administration, Pace University"
Charles Dolan & family,"Drop Out, John Carroll University"
Marcos Galperin,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Huang Li,"Master of Science, Huazhong University of Science and Technology"
Law Kar Po,
Li Wa,"Bachelor of Arts/Science, South China University of Technology"
Idan Ofer,
Qian Dongqi & family,"Master of Philosophy, Nanjing University"
Odd Reitan & family,
Henry Samueli,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
Les Wexner & family,"Bachelor of Arts/Science, Ohio State University"
Dannine Avara,
Juergen Blickle,
Robert Brockman,"Bachelor of Business Administration, University of Florida"
Mong-Koo Chung,"Bachelor of Arts/Science, Hanyang University"
Dulce Pugliese de Godoy Bueno,"Doctorate, The University of Texas at Austin; Medical Doctor, Universidade Federal do Rio de Janeiro"
Daniel Dines,"Bachelor of Science, University of Bucharest; Master of Science, University of Bucharest"
Scott Duncan,Houston Community College
Judy Faulkner,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin"
Guenther Fielmann & family,
Milane Frantz,"Master of Arts, University of Houston"
Frits Goldschmeding,"Doctorate, Free University of Amsterdam"
Andrei Guriev & family,"Master, Saint Petersburg Mining University; Bachelor of Arts/Science, State Central Institute of Physical Culture"
Jane Lauder,"Bachelor of Arts/Science, Stanford University"
Martin Lorentzon,
Isaac Perlmutter,
Jeff Skoll,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto"
Robert F. Smith,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University"
John A. Sobrato & family,"Bachelor of Arts/Science, Santa Clara University"
Ronald Wanek,"High School Graduate, High School"
Randa Duncan Williams,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston"
Hansjoerg Wyss,"Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology"
Chen Fashu,China Europe International Business School
Chen Rui,
Christopher Hohn,"Master of Business Administration, Harvard Business School"
Lin Jianhua & family,
Maria Asuncion Aramburuzabala & family,"Bachelor of Arts/Science, Instituto Tecnológico Autónomo de México"
Chan Laiwa & family,"Doctorate, Savannah College of Art and Design"
George Kaiser,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
Ananda Krishnan,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Melbourne University"
Douglas Leone,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management"
Li Chunan,
Li Ping,
William Li,
Augusto & Giorgio Perfetti,
Meg Whitman,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Princeton University"
